object,xmin,ymin,xmax,ymax,timestamp
person,210,91,794,716,2025-06-24 09:53:12
person,206,81,1134,720,2025-06-24 09:53:12
person,194,96,884,720,2025-06-24 09:53:13
person,221,93,1031,720,2025-06-24 09:53:13
person,215,94,807,720,2025-06-24 09:53:13
person,211,92,811,720,2025-06-24 09:53:13
person,209,96,819,720,2025-06-24 09:53:14
person,205,96,823,720,2025-06-24 09:53:14
person,0,424,83,711,2025-06-24 09:53:14
person,205,92,812,720,2025-06-24 09:53:14
person,196,86,821,720,2025-06-24 09:53:14
person,218,87,778,720,2025-06-24 09:53:15
person,220,85,770,720,2025-06-24 09:53:15
person,213,91,792,718,2025-06-24 09:53:15
person,216,87,818,720,2025-06-24 09:53:15
person,200,92,784,718,2025-06-24 09:53:15
person,213,86,776,720,2025-06-24 09:53:16
person,214,86,776,720,2025-06-24 09:53:16
person,208,83,770,720,2025-06-24 09:53:16
person,217,84,771,720,2025-06-24 09:53:16
person,208,89,856,720,2025-06-24 09:53:16
person,201,94,912,720,2025-06-24 09:53:17
cup,839,365,945,598,2025-06-24 09:53:17
person,211,94,787,716,2025-06-24 09:53:17
person,211,80,797,720,2025-06-24 09:53:17
person,83,97,796,720,2025-06-24 09:53:17
person,40,79,786,720,2025-06-24 09:53:17
book,130,93,421,414,2025-06-24 09:53:17
person,33,84,783,716,2025-06-24 09:53:18
person,30,88,801,714,2025-06-24 09:53:18
book,28,102,353,438,2025-06-24 09:53:18
person,33,91,816,720,2025-06-24 09:53:18
person,0,423,82,713,2025-06-24 09:53:18
person,56,87,799,717,2025-06-24 09:53:18
person,330,96,780,720,2025-06-24 09:53:18
person,326,94,780,720,2025-06-24 09:53:19
person,328,96,782,720,2025-06-24 09:53:19
person,321,96,779,720,2025-06-24 09:53:19
person,322,96,785,720,2025-06-24 09:53:19
person,309,97,783,720,2025-06-24 09:53:20
person,195,86,779,720,2025-06-24 09:53:20
person,287,94,781,720,2025-06-24 09:53:20
book,33,173,319,525,2025-06-24 09:53:20
person,290,95,783,720,2025-06-24 09:53:20
person,172,87,786,720,2025-06-24 09:53:20
